idx,question,sql,tables,shape_id,group,group_size
0,How many days had runoff from the smart irrigated extensive green roof equal to at least 80% of the recorded precipitation?,"WITH daily_out AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    SUM(Extensiv1_Efflux) AS runoff
  FROM outflow
  GROUP BY
    1
), daily_rain AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    SUM(Rain) AS rain
  FROM wetter
  GROUP BY
    1
)
SELECT
  COUNT(*)
FROM daily_out AS o
JOIN daily_rain AS w
  ON o.day = w.day
WHERE
  w.rain > 0 AND o.runoff >= 0.8 * w.rain","['outflow', 'wetter']",0,0,2
1,How often did the non-irrigated extensive green roof produce less daily outflow than the smart irrigated extensive green roof on days with at least 10 mm precipitation?,"WITH daily_outflow AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    SUM(Extensiv1_Efflux) AS smart_irrigated,
    SUM(Extensiv2_Efflux) AS non_irrigated
  FROM outflow
  GROUP BY
    1
), daily_rain AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    SUM(Rain) AS rain
  FROM wetter
  GROUP BY
    1
)
SELECT
  COUNT(*) AS days_count
FROM daily_outflow AS o
JOIN daily_rain AS r
  ON o.day = r.day
WHERE
  r.rain >= 10 AND o.non_irrigated < o.smart_irrigated","['outflow', 'wetter']",0,0,2
2,Which roof type had the lowest median daily outflow on days with at least 15 mm precipitation?,"WITH daily_rain AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    SUM(Rain) AS rain_mm
  FROM wetter
  GROUP BY
    1
), daily_outflow AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    SUM(Kies_Efflux) AS Kies,
    SUM(Extensiv1_Efflux) AS Extensiv1,
    SUM(Extensiv2_Efflux) AS Extensiv2,
    SUM(Sumpf2_Efflux) AS Sumpf2,
    SUM(Zeitlysi_Efflux_x) AS Zeitlysi,
    SUM(Sensorlysi_Efflux_x) AS Sensorlysi
  FROM outflow
  GROUP BY
    1
), joined AS (
  SELECT
    o.*
  FROM daily_outflow AS o
  JOIN daily_rain AS r
    USING (day)
  WHERE
    r.rain_mm >= 15
), unpivoted AS (
  SELECT
    'Kies' AS roof,
    Kies AS outflow
  FROM joined
  UNION ALL
  SELECT
    'Extensiv1',
    Extensiv1
  FROM joined
  UNION ALL
  SELECT
    'Extensiv2',
    Extensiv2
  FROM joined
  UNION ALL
  SELECT
    'Sumpf2',
    Sumpf2
  FROM joined
  UNION ALL
  SELECT
    'Zeitlysi',
    Zeitlysi
  FROM joined
  UNION ALL
  SELECT
    'Sensorlysi',
    Sensorlysi
  FROM joined
)
SELECT
  roof,
  MEDIAN(outflow) AS median_daily_outflow
FROM unpivoted
GROUP BY
  roof
ORDER BY
  median_daily_outflow ASC
LIMIT 1","['outflow', 'wetter']",1,1,3
3,How did the daily runoff-to-precipitation ratio differ between the gravel roof and the wetland green roof on days with at least 20 mm precipitation?,"WITH daily_rain AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    SUM(Rain) AS rain_mm
  FROM wetter
  GROUP BY
    1
  HAVING
    SUM(Rain) >= 20
), daily_outflow AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    SUM(Kies_Efflux) AS gravel_outflow_l,
    SUM(Sumpf2_Efflux) AS sumpf2_outflow_l
  FROM outflow
  GROUP BY
    1
)
SELECT
  r.day,
  r.rain_mm,
  o.gravel_outflow_l,
  o.sumpf2_outflow_l,
  o.gravel_outflow_l / NULLIF(r.rain_mm, 0) AS gravel_runoff_ratio,
  o.sumpf2_outflow_l / NULLIF(r.rain_mm, 0) AS wetland_sumpf2_runoff_ratio,
  (
    o.gravel_outflow_l / NULLIF(r.rain_mm, 0)
  ) - (
    o.sumpf2_outflow_l / NULLIF(r.rain_mm, 0)
  ) AS gravel_minus_wetland_ratio
FROM daily_rain AS r
JOIN daily_outflow AS o
  USING (day)
ORDER BY
  r.day","['outflow', 'wetter']",2,2,1
4,"On days with at least 15 mm precipitation, what percentage of precipitation left each roof type as outflow?","WITH daily_rain AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    SUM(Rain) AS rain_mm
  FROM wetter
  GROUP BY
    1
  HAVING
    SUM(Rain) >= 15
), daily_outflow AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    SUM(Kies_Efflux) AS Kies_Efflux,
    SUM(Extensiv1_Efflux) AS Extensiv1_Efflux,
    SUM(Extensiv2_Efflux) AS Extensiv2_Efflux,
    SUM(Sumpf2_Efflux) AS Sumpf2_Efflux,
    SUM(Zeitlysi_Efflux_x) AS Zeitlysi_Efflux_x,
    SUM(Sensorlysi_Efflux_x) AS Sensorlysi_Efflux_x
  FROM outflow
  GROUP BY
    1
)
SELECT
  100.0 * SUM(o.Kies_Efflux) / NULLIF(SUM(r.rain_mm), 0) AS gravel_roof_pct,
  100.0 * SUM(o.Extensiv1_Efflux) / NULLIF(SUM(r.rain_mm), 0) AS extensive_smart_irrigated_pct,
  100.0 * SUM(o.Extensiv2_Efflux) / NULLIF(SUM(r.rain_mm), 0) AS extensive_non_irrigated_pct,
  100.0 * SUM(o.Sumpf2_Efflux) / NULLIF(SUM(r.rain_mm), 0) AS wetland,
  100.0 * SUM(o.Zeitlysi_Efflux_x) / NULLIF(SUM(r.rain_mm), 0) AS extensive_small_lysi_timer_pct,
  100.0 * SUM(o.Sensorlysi_Efflux_x) / NULLIF(SUM(r.rain_mm), 0) AS extensive_small_lysi_threshold_pct
FROM daily_rain AS r
JOIN daily_outflow AS o
  USING (day)","['outflow', 'wetter']",3,3,4
5,How many days had no measurable outflow from the non-irrigated extensive green roof despite at least 5 mm precipitation?,"SELECT
  COUNT(*)
FROM (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    SUM(COALESCE(Extensiv2_Efflux, 0)) AS total_outflow
  FROM outflow
  GROUP BY
    1
) AS o
JOIN (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    SUM(COALESCE(Rain, 0)) AS total_rain
  FROM wetter
  GROUP BY
    1
) AS w
  USING (day)
WHERE
  w.total_rain >= 5 AND o.total_outflow = 0","['outflow', 'wetter']",4,4,3
6,Which roof type most frequently had the highest daily outflow among the monitored lysimeters?,"WITH daily AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    SUM(Kies_Efflux) AS Kies,
    SUM(Extensiv1_Efflux) AS Extensiv1,
    SUM(Extensiv2_Efflux) AS Extensiv2,
    SUM(Sumpf2_Efflux) AS Sumpf2,
    SUM(Zeitlysi_Efflux_x) AS Zeitlysi,
    SUM(Sensorlysi_Efflux_x) AS Sensorlysi
  FROM outflow
  GROUP BY
    1
), unpvt AS (
  SELECT
    day,
    'Kies_Efflux' AS roof,
    Kies AS val
  FROM daily
  UNION ALL
  SELECT
    day,
    'Extensiv1_Efflux',
    Extensiv1
  FROM daily
  UNION ALL
  SELECT
    day,
    'Extensiv2_Efflux',
    Extensiv2
  FROM daily
  UNION ALL
  SELECT
    day,
    'Sumpf2_Efflux',
    Sumpf2
  FROM daily
  UNION ALL
  SELECT
    day,
    'Zeitlysi_Efflux_x',
    Zeitlysi
  FROM daily
  UNION ALL
  SELECT
    day,
    'Sensorlysi_Efflux_x',
    Sensorlysi
  FROM daily
), ranked AS (
  SELECT
    day,
    roof,
    val,
    ROW_NUMBER() OVER (PARTITION BY day ORDER BY val DESC) AS rn
  FROM unpvt
)
SELECT
  roof,
  COUNT(*) AS days_with_highest_outflow
FROM ranked
WHERE
  rn = 1
GROUP BY
  roof
ORDER BY
  days_with_highest_outflow DESC",['outflow'],5,1,3
7,How did monthly runoff retention differ between the smart irrigated and non-irrigated extensive green roofs?,"WITH outflow_monthly AS (
  SELECT
    DATE_TRUNC('MONTH', timestamp) AS month,
    SUM(Extensiv1_Efflux) AS smart_irrigated_outflow_liters,
    SUM(Extensiv2_Efflux) AS non_irrigated_outflow_liters
  FROM outflow
  GROUP BY
    DATE_TRUNC('MONTH', timestamp)
), rain_monthly AS (
  SELECT
    DATE_TRUNC('MONTH', timestamp) AS month,
    SUM(Rain) AS rain_liters_per_roof
  FROM wetter
  GROUP BY
    DATE_TRUNC('MONTH', timestamp)
)
SELECT
  o.month,
  r.rain_liters_per_roof,
  o.smart_irrigated_outflow_liters,
  o.non_irrigated_outflow_liters,
  r.rain_liters_per_roof - o.smart_irrigated_outflow_liters AS rain_minus_smart_irrigated_outflow_liters,
  r.rain_liters_per_roof - o.non_irrigated_outflow_liters AS rain_minus_non_irrigated_retention_liters,
  o.non_irrigated_outflow_liters - o.smart_irrigated_outflow_liters AS irrigated_minus_non_irrigated_retention
FROM outflow_monthly AS o
LEFT JOIN rain_monthly AS r
  ON r.month = o.month
ORDER BY
  o.month","['outflow', 'wetter']",6,5,1
8,What was the average daily outflow from each roof type during months with more than 50 mm total precipitation?,"WITH monthly_rain AS (
  SELECT
    DATE_TRUNC('MONTH', timestamp) AS month,
    SUM(Rain) AS total_rain
  FROM wetter
  GROUP BY
    1
  HAVING
    SUM(Rain) > 50
), daily_outflow AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    DATE_TRUNC('MONTH', timestamp) AS month,
    SUM(Kies_Efflux) AS Kies_daily,
    SUM(Extensiv1_Efflux) AS Extensiv1_daily,
    SUM(Extensiv2_Efflux) AS Extensiv2_daily,
    SUM(Sumpf2_Efflux) AS Sumpf2_daily,
    SUM(Zeitlysi_Efflux_x) AS Zeitlysi_daily,
    SUM(Sensorlysi_Efflux_x) AS Sensorlysi_daily
  FROM outflow
  GROUP BY
    1,
    2
)
SELECT
  AVG(Kies_daily) AS avg_daily_Kies_Efflux,
  AVG(Extensiv1_daily) AS avg_daily_Extensiv1_Efflux,
  AVG(Extensiv2_daily) AS avg_daily_Extensiv2_Efflux,
  AVG(Sumpf2_daily) AS avg_daily_Sumpf2_Efflux,
  AVG(Zeitlysi_daily) AS avg_daily_Zeitlysi_Efflux_x,
  AVG(Sensorlysi_daily) AS avg_daily_Sensorlysi_Efflux_x
FROM daily_outflow AS d
JOIN monthly_rain AS m
  ON d.month = m.month","['outflow', 'wetter']",7,3,4
9,What was standard deviation of daily outflow for each roof type during days with at least 10 mm precipitation?,"WITH daily_rain AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    SUM(Rain) AS total_rain
  FROM wetter
  GROUP BY
    1
  HAVING
    SUM(Rain) >= 10
), daily_outflow AS (
  SELECT
    DATE_TRUNC('DAY', timestamp) AS day,
    SUM(Kies_Efflux) AS Kies,
    SUM(Extensiv1_Efflux) AS Extensiv1,
    SUM(Extensiv2_Efflux) AS Extensiv2,
    SUM(Sumpf2_Efflux) AS Sumpf2,
    SUM(Zeitlysi_Efflux_x) AS Zeitlysi,
    SUM(Sensorlysi_Efflux_x) AS Sensorlysi
  FROM outflow
  GROUP BY
    1
)
SELECT
  STDDEV_SAMP(Kies) AS Kies_stddev,
  STDDEV_SAMP(Extensiv1) AS Extensiv1_stddev,
  STDDEV_SAMP(Extensiv2) AS Extensiv2_stddev,
  STDDEV_SAMP(Sumpf2) AS Sumpf2_stddev,
  STDDEV_SAMP(Zeitlysi) AS Zeitlysi_stddev,
  STDDEV_SAMP(Sensorlysi) AS Sensorlysi_stddev
FROM daily_outflow
JOIN daily_rain
  USING (day)","['outflow', 'wetter']",8,6,1
